,county name,pop_density,mean_PRE,sd_PRE,mean_POST,sd_POST
0,"Autauga, Alabama, US",91.8,0.0,0.0,0.0,0.0
1,"Baldwin, Alabama, US",114.6,0.0,0.0,0.0,0.0
2,"Barbour, Alabama, US",31.0,0.0,0.0,0.0,0.0
3,"Bibb, Alabama, US",36.8,0.0,0.0,0.0,0.0
4,"Blount, Alabama, US",88.9,0.0,0.0,0.0,0.0
5,"Bullock, Alabama, US",17.5,0.0,0.0,0.0,0.0
6,"Butler, Alabama, US",27.0,0.0,0.0,0.0,0.0
7,"Calhoun, Alabama, US",195.7,0.0,0.0,0.0,0.0
8,"Chambers, Alabama, US",57.4,0.09902102579427788,0.048096882516928396,0.03596025905647259,0.02362200209859644
9,"Cherokee, Alabama, US",46.9,0.0,0.0,0.0,0.0
10,"Chilton, Alabama, US",63.0,0.0,0.0,0.0,0.0
11,"Choctaw, Alabama, US",15.2,0.0,0.0,0.0,0.0
12,"Clarke, Alabama, US",20.9,0.0,0.0,0.0,0.0
13,"Clay, Alabama, US",23.1,0.0,0.0,0.0,0.0
14,"Cleburne, Alabama, US",26.7,0.0,0.0,0.0,0.0
15,"Coffee, Alabama, US",73.6,0.0,0.0,0.0,0.0
16,"Colbert, Alabama, US",91.8,0.0,0.0,0.0,0.0
17,"Conecuh, Alabama, US",15.6,0.0,0.0,0.0,0.0
18,"Coosa, Alabama, US",17.7,0.0,0.0,0.0,0.0
19,"Covington, Alabama, US",36.6,0.0,0.0,0.0,0.0
20,"Crenshaw, Alabama, US",22.8,0.0,0.0,0.0,0.0
21,"Cullman, Alabama, US",109.4,0.0,0.0,0.0,0.0
22,"Dale, Alabama, US",89.6,0.0,0.0,0.0,0.0
23,"Dallas, Alabama, US",44.8,0.0,0.0,0.0,0.0
24,"DeKalb, Alabama, US",91.5,0.0,0.0,0.0,0.0
25,"Elmore, Alabama, US",128.2,0.0,0.0,0.0,0.0
26,"Escambia, Alabama, US",40.5,0.0,0.0,0.0,0.0
27,"Etowah, Alabama, US",195.2,0.27465307216702745,0.1690950737524656,0.1059122325484004,0.04221932390995233
28,"Fayette, Alabama, US",27.5,0.0,0.0,0.0,0.0
29,"Franklin, Alabama, US",50.0,0.0,0.0,0.0,0.0
30,"Geneva, Alabama, US",46.6,0.0,0.0,0.0,0.0
31,"Greene, Alabama, US",14.0,0.0,0.0,0.0,0.0
32,"Hale, Alabama, US",24.5,0.0,0.0,0.0,0.0
33,"Henry, Alabama, US",30.8,0.0,0.0,0.0,0.0
34,"Houston, Alabama, US",175.1,0.0,0.0,0.0,0.0
35,"Jackson, Alabama, US",49.4,0.0,0.0,0.08664339756999315,0.08664339756999313
36,"Jefferson, Alabama, US",592.5,0.20273255405408225,0.11704769465662475,0.0638532029707488,0.022513083100613833
37,"Lamar, Alabama, US",24.1,0.0,0.0,0.0,0.0
38,"Lauderdale, Alabama, US",138.8,0.07701635339554948,0.07701635339554948,0.08664339756999315,0.05780297538738535
39,"Lawrence, Alabama, US",49.7,0.0,0.0,0.0,0.0
40,"Lee, Alabama, US",230.8,0.057923586872594926,0.057923586872594926,0.12260365662646572,0.06770362010689278
41,"Limestone, Alabama, US",147.8,0.0,0.0,0.0,0.0
42,"Lowndes, Alabama, US",15.8,0.0,0.0,0.0,0.0
43,"Macon, Alabama, US",35.2,0.0,0.0,0.0,0.0
44,"Madison, Alabama, US",417.7,0.0,0.0,0.1373265360835137,0.09392116258081579
45,"Marengo, Alabama, US",21.5,0.0,0.0,0.0,0.0
46,"Marion, Alabama, US",41.5,0.0,0.0,0.08664339756999315,0.05780297538738535
47,"Marshall, Alabama, US",164.4,0.0,0.0,0.09902102579427789,0.09902102579427789
48,"Mobile, Alabama, US",335.9,0.19908438546978388,0.12607436054982113,0.13018173435352012,0.044957552707845745
49,"Monroe, Alabama, US",22.5,0.0,0.0,0.0,0.0
50,"Montgomery, Alabama, US",292.5,0.0,0.0,0.2011797390542625,0.11075332735101577
51,"Morgan, Alabama, US",206.3,0.0,0.0,0.0,0.0
52,"Perry, Alabama, US",14.7,0.0,0.0,0.0,0.0
53,"Pickens, Alabama, US",22.4,0.0,0.0,0.0,0.0
54,"Pike, Alabama, US",48.9,0.0,0.0,0.0,0.0
55,"Randolph, Alabama, US",39.5,0.0,0.0,0.1732867951399863,0.09329192237105007
56,"Russell, Alabama, US",82.6,0.0,0.0,0.0,0.0
57,"St. Clair, Alabama, US",132.3,0.0,0.0,0.0,0.0
58,"Shelby, Alabama, US",248.5,0.18325814637483095,0.08032379228246744,0.0,0.0
59,"Sumter, Alabama, US",15.2,0.0,0.0,0.0,0.0
60,"Talladega, Alabama, US",111.7,0.0,0.0,0.0,0.0
61,"Tallapoosa, Alabama, US",58.1,0.0,0.0,0.2011797390542625,0.11075332735101577
62,"Tuscaloosa, Alabama, US",147.3,0.0,0.0,0.0,0.0
63,"Walker, Alabama, US",84.7,0.0,0.0,0.0,0.0
64,"Washington, Alabama, US",16.3,0.0,0.0,0.0,0.0
65,"Wilcox, Alabama, US",13.1,0.0,0.0,0.0,0.0
66,"Winston, Alabama, US",39.9,0.0,0.0,0.0,0.0
67,"Aleutians East, Alaska, US",0.4,0.0,0.0,0.0,0.0
68,"Aleutians West, Alaska, US",1.3,0.0,0.0,0.0,0.0
69,"Anchorage,Alaska,US",171.2,0.0,0.0,0.1732867951399863,0.17328679513998627
70,"Bethel, Alaska, US",0.4,0.0,0.0,0.0,0.0
