test_date,positives
2021-12-01 00:00:00.0000000,24
2021-12-02 00:00:00.0000000,17
2021-12-03 00:00:00.0000000,9
2021-12-04 00:00:00.0000000,6
2021-12-05 00:00:00.0000000,12
2021-12-06 00:00:00.0000000,31
2021-12-07 00:00:00.0000000,53
2021-12-08 00:00:00.0000000,75
2021-12-09 00:00:00.0000000,122
2021-12-10 00:00:00.0000000,176
2021-12-11 00:00:00.0000000,208
2021-12-12 00:00:00.0000000,289
2021-12-13 00:00:00.0000000,375
2021-12-14 00:00:00.0000000,381
2021-12-15 00:00:00.0000000,251
2021-12-16 00:00:00.0000000,161
2021-12-17 00:00:00.0000000,75
2021-12-18 00:00:00.0000000,42
2021-12-19 00:00:00.0000000,8
2021-12-20 00:00:00.0000000,65
2021-12-21 00:00:00.0000000,36
2021-12-22 00:00:00.0000000,33
2021-12-23 00:00:00.0000000,26
2021-12-24 00:00:00.0000000,3
2021-12-26 00:00:00.0000000,6
2021-12-27 00:00:00.0000000,13
