test_date,positives
2021-12-01 00:00:00.0000000,6
2021-12-02 00:00:00.0000000,6
2021-12-03 00:00:00.0000000,6
2021-12-04 00:00:00.0000000,0
2021-12-05 00:00:00.0000000,1
2021-12-06 00:00:00.0000000,11
2021-12-07 00:00:00.0000000,6
2021-12-08 00:00:00.0000000,4
2021-12-09 00:00:00.0000000,5
2021-12-10 00:00:00.0000000,2
2021-12-11 00:00:00.0000000,2
2021-12-12 00:00:00.0000000,4
2021-12-13 00:00:00.0000000,15
2021-12-14 00:00:00.0000000,16
2021-12-15 00:00:00.0000000,11
2021-12-16 00:00:00.0000000,10
2021-12-17 00:00:00.0000000,10
2021-12-18 00:00:00.0000000,4
2021-12-19 00:00:00.0000000,4
2021-12-20 00:00:00.0000000,25
2021-12-21 00:00:00.0000000,18
2021-12-22 00:00:00.0000000,19
2021-12-23 00:00:00.0000000,10
2021-12-24 00:00:00.0000000,3
2021-12-26 00:00:00.0000000,5
2021-12-27 00:00:00.0000000,26
