Date,Counts
16-Aug,26
17-Aug,26
18-Aug,28
19-Aug,29
20-Aug,30
21-Aug,30
22-Aug,30
23-Aug,30
24-Aug,31
25-Aug,33
26-Aug,33
27-Aug,34
28-Aug,43
29-Aug,45
30-Aug,46
31-Aug,51
1-Sep,58
2-Sep,70
3-Sep,82
4-Sep,96
5-Sep,102
6-Sep,107
7-Sep,113
8-Sep,116
9-Sep,129
10-Sep,135
11-Sep,139
12-Sep,142
13-Sep,142
14-Sep,142
15-Sep,142
16-Sep,143
17-Sep,143
18-Sep,144
19-Sep,144
20-Sep,145
21-Sep,147
22-Sep,148
23-Sep,149
24-Sep,149
25-Sep,150
26-Sep,151
27-Sep,151
28-Sep,152
29-Sep,153
30-Sep,153
1-Oct,153
2-Oct,155
3-Oct,155
4-Oct,155
5-Oct,157
6-Oct,158
7-Oct,159
8-Oct,160
9-Oct,160
10-Oct,160
11-Oct,160
