,S,QS,QI,R,E_0,E_1,E_2,E_3,E_4,E_5,E_6,pre_ID_0,pre_ID_1,pre_ID_2,pre_ID_3,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,SyID_mild_0,SyID_mild_1,SyID_mild_2,SyID_mild_3,SyID_mild_4,SyID_mild_5,SyID_mild_6,SyID_mild_7,SyID_mild_8,SyID_mild_9,SyID_mild_10,SyID_mild_11,SyID_mild_12,SyID_mild_13,SyID_mild_14,SyID_mild_15,SyID_mild_16,SyID_mild_17,SyID_mild_18,SyID_mild_19,SyID_severe_0,SyID_severe_1,SyID_severe_2,SyID_severe_3,SyID_severe_4,SyID_severe_5,SyID_severe_6,SyID_severe_7,SyID_severe_8,SyID_severe_9,SyID_severe_10,SyID_severe_11,SyID_severe_12,SyID_severe_13,SyID_severe_14,SyID_severe_15,SyID_severe_16,SyID_severe_17,SyID_severe_18,SyID_severe_19,cumulative_mild,cumulative_severe,cumulative_outside_infections,severity_0,severity_1,severity_2,severity_3
0,61950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,8,7,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0
1,61946,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,8,9,9,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,5,6,1,5.0,5.7552680905891584,0.17912433221507554,0.06560757719576592
2,61943,0,1,0,1,1,2,0,0,0,0,0,0,0,0,8,10,9,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,4,0,1,0,2,1,0,0,0,9,14,1,9.0,13.42895887804137,0.4179567751685096,0.15308434679012048
3,61935,5,3,0,3,3,0,0,0,0,0,0,0,0,0,10,10,2,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,3,0,0,1,1,0,1,0,0,0,0,0,0,2,0,2,2,0,0,4,1,1,0,2,0,1,0,0,0,13,18,2,13.0,17.265804271767475,0.5373729966452266,0.19682273158729777
4,61918,17,5,1,5,1,0,0,0,0,0,0,0,0,0,11,4,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,3,1,3,1,1,0,1,0,1,0,0,0,0,2,0,2,2,0,0,3,2,1,1,3,1,1,0,0,0,1,18,25,5,18.0,23.980283710788157,0.7463513842294814,0.273364904982358
5,61903,27,9,2,2,0,0,0,1,0,0,0,0,0,0,4,3,4,1,0,0,0,0,0,0,0,0,2,1,2,1,1,3,2,3,2,1,0,2,0,2,0,0,0,0,2,0,2,3,0,0,2,3,0,2,4,2,0,0,1,0,1,0,23,32,6,23.0,30.694763149808843,0.9553297718137362,0.34990707837741825
6,61876,47,18,4,1,1,3,0,0,0,0,0,0,0,0,3,5,1,0,0,0,1,0,0,0,0,2,1,2,1,2,3,2,3,2,1,0,2,0,2,0,0,0,0,1,0,2,1,0,0,2,4,0,1,2,1,1,1,1,0,0,0,0,25,37,6,25.0,35.490819891966474,1.1046000486596326,0.40458005937388986
7,61835,85,27,4,0,0,0,0,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,1,2,1,2,3,3,3,2,2,0,2,0,3,0,0,0,0,1,0,1,1,0,0,1,4,0,1,2,1,1,1,1,0,0,0,0,0,31,41,6,31.0,39.32766528569258,1.2240162701363495,0.44831844417106714
8,61828,89,26,7,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,1,2,3,3,3,3,2,0,2,0,3,0,0,0,0,0,0,1,1,0,0,2,4,0,2,3,1,1,1,2,0,0,0,0,0,0,32,46,7,32.0,44.123722027850214,1.373286546982246,0.5029914251675387
9,61831,81,27,10,1,2,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,2,1,2,3,3,3,3,2,0,2,0,3,0,0,0,0,0,0,1,1,0,0,1,3,0,3,2,1,1,1,1,0,0,0,0,0,0,0,32,47,8,32.0,45.08293337628174,1.403140602351425,0.5139260213668331
