,S,QS,QI,R,E_0,E_1,E_2,E_3,E_4,E_5,E_6,pre_ID_0,pre_ID_1,pre_ID_2,pre_ID_3,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,SyID_mild_0,SyID_mild_1,SyID_mild_2,SyID_mild_3,SyID_mild_4,SyID_mild_5,SyID_mild_6,SyID_mild_7,SyID_mild_8,SyID_mild_9,SyID_mild_10,SyID_mild_11,SyID_mild_12,SyID_mild_13,SyID_mild_14,SyID_mild_15,SyID_mild_16,SyID_mild_17,SyID_mild_18,SyID_mild_19,SyID_severe_0,SyID_severe_1,SyID_severe_2,SyID_severe_3,SyID_severe_4,SyID_severe_5,SyID_severe_6,SyID_severe_7,SyID_severe_8,SyID_severe_9,SyID_severe_10,SyID_severe_11,SyID_severe_12,SyID_severe_13,SyID_severe_14,SyID_severe_15,SyID_severe_16,SyID_severe_17,SyID_severe_18,SyID_severe_19,cumulative_mild,cumulative_severe,cumulative_outside_infections,severity_0,severity_1,severity_2,severity_3
0,61950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,14,8,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,61946,0,0,0,0,1,1,0,1,0,0,0,0,0,0,11,14,8,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6,3,1,6.0,2.8776340452945792,0.08956216610753777,0.03280378859788296
2,61945,0,0,0,1,1,1,1,0,0,0,0,0,0,0,14,8,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,2,0,2,1,0,1,2,0,0,0,7,13,1,7.0,12.469747529609842,0.38810271979933036,0.14214975059082616
3,61938,0,2,0,1,4,1,2,0,0,0,0,0,0,0,9,5,5,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,2,1,2,0,4,3,1,2,1,1,1,2,1,1,0,0,10,24,5,10.0,23.021072362356634,0.7164973288603022,0.26243030878306367
4,61930,6,9,1,5,2,1,0,0,0,0,0,0,0,0,5,5,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,2,1,2,1,4,1,3,1,1,0,0,2,1,1,1,1,0,12,32,5,12.0,30.694763149808843,0.9553297718137362,0.34990707837741825
5,61906,27,16,3,2,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,2,0,0,0,1,0,0,0,1,1,1,1,1,4,1,0,0,1,0,0,0,1,0,0,0,2,0,2,1,2,1,4,2,2,0,0,2,2,1,1,1,0,0,14,41,7,14.0,39.32766528569258,1.2240162701363495,0.44831844417106714
6,61893,35,24,4,1,1,1,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,0,0,0,1,1,1,1,1,5,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1,4,3,2,1,0,2,1,1,0,2,0,0,0,15,47,8,15.0,45.08293337628174,1.403140602351425,0.5139260213668331
7,61878,49,30,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,5,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1,3,3,2,1,0,2,1,1,0,2,1,0,0,0,20,50,8,20.0,47.960567421576314,1.4927027684589629,0.546729809964716
8,61877,49,30,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,1,1,0,3,1,0,0,0,0,20,52,8,20.0,49.87899011843937,1.5524108791973215,0.5685990023633046
9,61873,51,31,12,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,1,1,2,1,1,0,2,1,0,0,0,0,0,21,52,8,21.0,49.87899011843937,1.5524108791973215,0.5685990023633046
10,61868,52,34,13,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,0,0,0,22,53,9,22.0,50.8382014668709,1.5822649345665007,0.579533598562599
11,61863,53,33,19,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,1,2,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,22,55,11,22.0,52.756624163733946,1.641973045304859,0.6014027909611876
