,S,QS,QI,R,E_0,E_1,E_2,E_3,E_4,E_5,E_6,pre_ID_0,pre_ID_1,pre_ID_2,pre_ID_3,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,SyID_mild_0,SyID_mild_1,SyID_mild_2,SyID_mild_3,SyID_mild_4,SyID_mild_5,SyID_mild_6,SyID_mild_7,SyID_mild_8,SyID_mild_9,SyID_mild_10,SyID_mild_11,SyID_mild_12,SyID_mild_13,SyID_mild_14,SyID_mild_15,SyID_mild_16,SyID_mild_17,SyID_mild_18,SyID_mild_19,SyID_severe_0,SyID_severe_1,SyID_severe_2,SyID_severe_3,SyID_severe_4,SyID_severe_5,SyID_severe_6,SyID_severe_7,SyID_severe_8,SyID_severe_9,SyID_severe_10,SyID_severe_11,SyID_severe_12,SyID_severe_13,SyID_severe_14,SyID_severe_15,SyID_severe_16,SyID_severe_17,SyID_severe_18,SyID_severe_19,cumulative_mild,cumulative_severe,cumulative_outside_infections,severity_0,severity_1,severity_2,severity_3
0,7622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0.0,1.9666666666666666,0.024999999999999998,0.008333333333333333
1,7618,2,1,1,1,0,0,0,0,1,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,0,3.0,2.9499999999999997,0.0375,0.0125
2,7603,14,2,1,0,0,0,0,1,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,5,0,4.0,4.916666666666666,0.06249999999999999,0.020833333333333332
3,7602,13,4,1,2,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,6,8,0,6.0,7.866666666666666,0.09999999999999999,0.03333333333333333
4,7588,24,8,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,7,10,0,7.0,9.833333333333332,0.12499999999999999,0.041666666666666664
5,7556,47,7,4,2,3,0,0,0,0,0,0,0,0,0,1,1,3,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,10,11,0,10.0,10.816666666666666,0.13749999999999998,0.04583333333333333
6,7555,46,10,4,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,12,13,0,12.0,12.783333333333333,0.16249999999999998,0.05416666666666667
7,7544,53,13,5,1,0,1,1,0,0,0,0,0,0,0,5,1,0,3,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13,14,0,13.0,13.766666666666666,0.175,0.058333333333333334
8,7522,70,14,9,2,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,17,18,0,17.0,17.7,0.22499999999999998,0.075
9,7502,85,15,12,3,3,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,18,1,19.0,17.7,0.22499999999999998,0.075
10,7480,101,15,15,4,1,2,0,1,0,0,0,0,0,0,3,1,1,1,2,0,0,0,0,1,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,1,21.0,18.683333333333334,0.2375,0.07916666666666666
11,7465,108,15,16,4,2,1,3,0,0,0,0,0,0,0,2,1,4,3,0,1,0,0,1,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,21,22,1,21.0,21.633333333333333,0.27499999999999997,0.09166666666666666
12,7453,111,18,21,5,1,3,2,0,0,0,0,0,0,0,1,5,6,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,23,25,1,23.0,24.583333333333332,0.3125,0.10416666666666667
13,7425,138,21,23,2,2,0,0,0,0,0,0,0,0,0,5,8,2,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,26,27,1,26.0,26.549999999999997,0.33749999999999997,0.1125
14,7415,138,24,23,7,1,2,0,0,0,0,0,0,0,0,6,3,3,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,31,29,1,31.0,28.516666666666666,0.3625,0.12083333333333333
15,7407,134,24,28,3,5,2,1,0,0,0,0,0,0,0,2,7,3,1,1,2,0,1,0,0,0,1,1,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,36,32,1,36.0,31.466666666666665,0.39999999999999997,0.13333333333333333
16,7387,140,30,29,7,7,1,0,0,1,0,0,0,0,0,9,6,1,2,2,1,1,0,0,0,1,1,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,39,33,1,39.0,32.449999999999996,0.4125,0.1375
17,7344,169,32,34,9,4,1,1,0,0,0,0,0,0,0,6,5,4,3,4,1,1,0,0,1,1,0,0,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,2,0,0,1,0,0,0,0,43,42,1,43.0,41.3,0.5249999999999999,0.175
18,7333,168,36,39,11,2,1,0,0,0,0,0,0,0,0,6,5,7,5,3,1,0,0,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,51,44,1,51.0,43.266666666666666,0.5499999999999999,0.18333333333333332
19,7273,201,43,46,17,2,3,2,1,0,0,0,0,0,0,5,8,6,7,2,0,0,0,1,0,0,0,4,0,1,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,0,0,0,59,51,1,59.0,50.15,0.6375,0.2125
20,7222,229,55,50,7,8,0,2,0,0,0,0,0,0,0,12,14,16,6,0,0,0,0,0,0,0,4,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,64,57,1,64.0,56.05,0.7124999999999999,0.2375
21,7152,278,63,56,10,2,3,2,2,0,0,0,0,0,0,13,19,7,2,0,0,1,0,1,0,4,0,1,1,1,2,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,1,0,0,0,0,0,78,68,1,78.0,66.86666666666666,0.85,0.2833333333333333
22,7131,289,71,62,3,7,3,0,1,0,0,0,0,0,0,18,7,5,0,4,2,0,0,0,4,0,0,1,1,2,2,0,2,2,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2,3,0,2,3,2,0,0,0,1,0,0,0,0,85,82,1,85.0,80.63333333333333,1.025,0.3416666666666667
23,7087,319,79,70,9,4,2,1,1,0,0,0,0,0,0,7,4,1,4,2,1,0,0,2,0,0,1,1,2,2,1,2,3,2,3,1,1,1,3,0,1,0,0,0,0,0,1,1,0,4,0,4,1,3,0,1,1,1,1,1,1,0,0,96,99,1,96.0,97.35,1.2374999999999998,0.4125
