,S,QS,QI,R,E_0,E_1,E_2,E_3,E_4,E_5,E_6,pre_ID_0,pre_ID_1,pre_ID_2,pre_ID_3,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,SyID_mild_0,SyID_mild_1,SyID_mild_2,SyID_mild_3,SyID_mild_4,SyID_mild_5,SyID_mild_6,SyID_mild_7,SyID_mild_8,SyID_mild_9,SyID_mild_10,SyID_mild_11,SyID_mild_12,SyID_mild_13,SyID_mild_14,SyID_mild_15,SyID_mild_16,SyID_mild_17,SyID_mild_18,SyID_mild_19,SyID_severe_0,SyID_severe_1,SyID_severe_2,SyID_severe_3,SyID_severe_4,SyID_severe_5,SyID_severe_6,SyID_severe_7,SyID_severe_8,SyID_severe_9,SyID_severe_10,SyID_severe_11,SyID_severe_12,SyID_severe_13,SyID_severe_14,SyID_severe_15,SyID_severe_16,SyID_severe_17,SyID_severe_18,SyID_severe_19,cumulative_mild,cumulative_severe,cumulative_outside_infections,severity_0,severity_1,severity_2,severity_3
0,61950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,11,8,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0.0,2.8776340452945792,0.08956216610753777,0.03280378859788296
1,61944,0,1,0,2,3,0,1,0,0,0,0,0,0,0,12,11,8,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,6,1,1.0,5.7552680905891584,0.17912433221507554,0.06560757719576592
2,61934,8,3,0,3,2,1,0,0,0,0,0,0,0,0,11,8,5,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,2,0,1,2,0,0,0,0,2,17,1,2.0,16.30659292333595,0.5075189412760474,0.18588813538800344
3,61913,23,5,1,4,1,1,0,0,0,0,0,0,0,0,8,6,6,4,0,1,2,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,3,4,1,2,2,0,0,0,0,0,6,25,2,6.0,23.980283710788157,0.7463513842294814,0.273364904982358
4,61892,39,10,1,2,1,3,0,0,0,0,0,0,0,0,6,7,5,1,1,2,0,0,0,0,1,0,1,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,1,2,1,1,0,1,0,0,1,10,31,2,10.0,29.735551801377316,0.925475716444557,0.3389724821781239
5,61859,68,15,1,1,3,0,1,0,0,0,0,0,0,0,7,5,2,1,3,0,0,0,0,1,0,1,0,0,1,0,3,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,3,1,3,1,1,0,1,0,0,1,0,15,35,2,15.0,33.57239719510342,1.044891937921274,0.3827108669753012
6,61839,82,15,4,6,2,1,0,0,0,0,0,0,0,0,6,2,1,3,0,0,0,0,1,0,1,0,0,2,0,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,1,3,1,2,1,2,0,0,1,0,0,17,41,3,17.0,39.32766528569258,1.2240162701363495,0.44831844417106714
7,61821,95,26,6,3,1,1,0,0,0,0,0,0,0,0,2,2,5,2,0,2,0,0,0,1,0,0,2,0,3,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,2,0,2,1,2,0,1,0,1,1,0,18,48,3,18.0,46.04214472471327,1.4329946577206043,0.5248606175661273
8,61733,179,38,7,0,1,1,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,1,0,0,2,0,3,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,2,1,2,0,1,1,2,1,0,0,20,58,3,20.0,55.63425820902853,1.731535211412397,0.6342065795590706
9,61717,189,40,10,1,2,2,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,3,1,2,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,3,1,2,0,1,1,2,1,0,0,0,22,60,4,22.0,57.55268090589158,1.7912433221507555,0.6560757719576592
