,0
0,1.5
1,7.0
2,18.5
3,27.0
4,33.5
5,39.0
6,42.5
7,46.0
8,50.5
9,53.0
10,55.5
11,58.0
12,60.5
13,63.0
14,64.5
15,66.0
16,66.5
17,67.0
18,67.5
19,68.0
20,68.0
21,68.0
22,69.5
23,70.0
24,71.0
25,71.0
26,71.0
27,72.0
28,73.0
29,73.5
30,74.0
31,74.5
32,75.0
33,76.0
34,76.0
35,77.0
36,77.5
37,78.0
38,79.0
39,79.0
40,79.5
41,80.0
42,81.0
43,82.0
44,82.5
45,82.5
46,82.5
47,83.0
48,83.0
49,84.5
50,85.0
51,85.0
52,86.0
53,86.5
54,87.0
55,87.0
56,87.0
57,87.5
58,88.0
59,89.0
60,90.0
61,90.0
62,90.0
63,90.5
64,91.0
65,91.0
66,91.0
67,91.0
68,91.5
69,92.0
70,92.5
71,93.0
72,93.5
73,94.5
74,95.0
75,95.0
76,96.0
77,96.0
78,97.0
79,97.0
80,98.0
81,98.0
82,99.0
83,99.0
84,99.0
85,100.0
86,101.0
87,101.5
88,102.5
89,102.5
90,102.5
91,103.0
92,104.0
93,104.5
94,104.5
95,105.5
96,106.0
97,108.0
98,109.0
99,109.5
100,109.5
101,110.5
102,110.5
103,111.0
104,111.0
105,112.0
106,112.0
107,112.0
108,112.0
109,112.0
110,112.0
111,114.0
112,114.5
113,114.5
114,116.0
115,116.0
116,117.0
117,118.5
118,118.5
119,119.0
120,119.5
121,120.0
122,120.5
123,121.5
124,122.0
125,122.0
126,122.5
127,123.0
128,124.5
129,125.0
130,126.0
131,126.0
132,126.0
133,126.0
