,0
0,1.5
1,7.7
2,17.77
3,25.98
4,32.78
5,38.0
6,42.41
7,45.78
8,48.47
9,50.77
10,53.11
11,55.47
12,57.62
13,59.78
14,61.95
15,64.07
16,64.53
17,65.11
18,65.63
19,66.22
20,66.83
21,67.24000000000001
22,67.66
23,68.1
24,68.55
25,69.1
26,69.62
27,70.2
28,70.72999999999999
29,71.16
30,71.64
31,72.12
32,72.58
33,72.95
34,73.33
35,73.67
36,73.97999999999999
37,74.43
38,74.78
39,75.21000000000001
40,75.72999999999999
41,76.22
42,76.63
43,77.13
44,77.64
45,78.22
46,78.71000000000001
47,79.22
48,79.78
49,80.42
50,80.86
51,81.36
52,81.9
53,82.45
54,83.03999999999999
55,83.62
56,84.12
57,84.65
58,85.17
59,85.62
60,86.05
61,86.44
62,86.88
63,87.28999999999999
64,87.75
65,88.25
66,88.73
67,89.08
68,89.43
69,89.78
70,90.12
71,90.45
72,90.83
73,91.26
74,91.78
75,92.19
76,92.51
77,92.93
78,93.62
79,94.16
80,94.68
81,95.31
82,95.84
83,96.39
84,96.9
85,97.27
86,97.7
87,98.09
88,98.46
89,98.96
90,99.46
91,100.05
92,100.69
93,101.2
94,101.69
95,102.09
96,102.46
97,102.89
98,103.29
99,103.69
100,104.11
101,104.49
102,104.93
103,105.34
104,105.75
105,106.28
106,106.63
107,106.99
108,107.36
109,107.82
110,108.29
111,108.76
112,109.24
113,109.74
114,110.29
115,110.76
116,111.23
117,111.64
118,112.08
119,112.5
120,113.0
121,113.44
122,113.96
123,114.57
124,115.07
125,115.6
126,116.15
127,116.64
128,117.08
129,117.4
130,117.8
131,118.35
132,118.77
133,119.21
