,0
0,6.0
1,16.0
2,31.0
3,45.0
4,57.0
5,70.0
6,81.0
7,90.0
8,98.0
9,107.0
10,115.0
11,125.0
12,132.0
13,139.5
14,146.5
15,154.5
16,156.0
17,156.5
18,158.5
19,161.0
20,162.5
21,162.5
22,163.5
23,163.5
24,164.0
25,164.5
26,165.0
27,165.5
28,167.0
29,171.0
30,173.0
31,173.5
32,174.0
33,175.0
34,176.0
35,178.0
36,178.5
37,179.0
38,180.0
39,180.5
40,180.5
41,181.5
42,182.5
43,183.0
44,183.0
45,183.0
46,184.0
47,184.5
48,186.5
49,189.5
50,191.5
51,191.5
52,191.5
53,192.0
54,193.5
55,195.5
56,197.5
57,198.0
58,200.5
59,203.0
60,205.0
61,205.5
62,206.0
63,206.5
64,208.0
65,210.5
66,212.5
67,212.5
68,212.5
69,213.0
70,214.5
71,220.5
72,223.0
73,224.0
74,225.5
75,227.5
76,229.0
77,233.5
78,234.0
79,234.0
80,234.0
81,234.0
82,234.5
83,235.0
84,236.5
85,236.5
86,237.5
87,238.0
88,239.0
89,240.5
90,241.5
91,242.0
92,242.5
93,243.5
94,243.5
95,245.5
96,245.5
97,245.5
98,247.0
99,248.0
100,248.0
101,251.0
102,254.0
103,256.5
104,256.5
105,257.0
106,257.0
107,258.0
108,260.5
109,264.0
110,266.0
111,267.0
112,268.0
113,269.5
114,271.0
115,273.0
116,273.5
117,274.0
118,274.5
119,276.0
120,277.5
121,278.5
122,280.0
123,283.5
124,285.0
125,288.0
126,289.5
127,290.0
128,290.5
129,294.0
130,294.5
131,295.5
132,297.5
133,298.5
