,0
0,12.0
1,28.61
2,49.519999999999996
3,69.6
4,89.1
5,108.18
6,126.7
7,144.81
8,162.47
9,180.23
10,198.42000000000002
11,216.85
12,235.61
13,254.19
14,273.74
15,293.98
16,302.3
17,311.39
18,320.55
19,329.58000000000004
20,338.76
21,348.19
22,357.96000000000004
23,366.87
24,374.94
25,383.48
26,392.65999999999997
27,401.2
28,409.77
29,418.45
30,427.0
31,435.37
32,443.46000000000004
33,451.3
34,459.11
35,467.13
36,474.87
37,482.67
38,489.91
39,497.06
40,504.32
41,511.46
42,518.14
43,524.35
44,530.62
45,536.88
46,543.0799999999999
47,549.3399999999999
48,555.6800000000001
49,562.13
50,568.64
51,575.49
52,582.5799999999999
53,589.61
54,595.56
55,601.0699999999999
56,606.11
57,610.8399999999999
58,615.46
59,620.3299999999999
60,625.6
61,630.73
62,635.88
63,640.39
64,644.26
65,648.21
66,651.8199999999999
67,655.4
68,659.14
69,662.76
70,666.22
71,669.3
72,672.51
73,676.03
74,679.29
75,682.5799999999999
76,685.8299999999999
77,688.9
78,691.79
79,694.85
80,698.0
81,700.96
82,703.8399999999999
83,707.01
84,710.2
85,713.46
86,716.93
87,720.5
88,724.06
89,727.69
90,731.46
91,735.5
92,739.68
93,743.66
94,747.52
95,750.97
96,754.16
97,757.39
98,760.46
99,763.91
100,767.31
101,770.6
102,774.2
103,777.68
104,780.99
105,784.55
106,788.28
107,792.29
108,796.2
109,799.89
110,802.96
111,806.2
112,809.73
113,812.77
114,815.76
115,818.72
116,821.63
117,824.72
118,828.44
119,832.55
120,836.07
121,839.56
122,843.35
123,847.13
124,850.56
125,854.33
126,858.27
127,862.1
128,865.52
129,869.26
130,873.37
131,877.17
132,880.55
133,883.82
