,0
0,3.0
1,11.0
2,22.0
3,33.0
4,42.0
5,49.5
6,55.0
7,61.0
8,67.0
9,71.0
10,75.0
11,80.0
12,83.0
13,87.0
14,90.5
15,94.0
16,95.0
17,96.0
18,96.5
19,97.0
20,97.5
21,97.5
22,98.0
23,98.5
24,99.5
25,100.0
26,100.0
27,101.5
28,102.0
29,102.5
30,103.5
31,104.0
32,105.5
33,106.0
34,107.0
35,108.0
36,108.5
37,109.5
38,110.0
39,110.5
40,110.5
41,112.5
42,113.0
43,114.0
44,115.0
45,116.0
46,117.0
47,118.5
48,118.5
49,119.0
50,119.5
51,120.5
52,122.5
53,122.5
54,123.0
55,124.0
56,125.0
57,125.5
58,125.5
59,126.0
60,126.5
61,128.5
62,128.5
63,130.0
64,131.0
65,131.5
66,132.0
67,133.0
68,133.0
69,133.0
70,134.5
71,134.5
72,135.5
73,136.0
74,137.0
75,137.5
76,138.0
77,139.0
78,139.0
79,140.5
80,141.0
81,141.0
82,142.0
83,142.5
84,144.0
85,144.0
86,145.0
87,146.5
88,147.5
89,147.5
90,148.0
91,149.5
92,150.0
93,150.0
94,150.5
95,150.5
96,151.0
97,151.0
98,151.0
99,152.5
100,154.0
101,156.0
102,156.0
103,156.5
104,157.0
105,158.0
106,159.5
107,160.0
108,160.0
109,160.0
110,160.5
111,161.0
112,162.0
113,162.0
114,162.0
115,163.0
116,164.5
117,164.5
118,164.5
119,165.0
120,166.0
121,166.5
122,168.0
123,169.5
124,170.0
125,171.0
126,172.0
127,173.0
128,174.0
129,174.0
130,175.0
131,175.5
132,175.5
133,176.5
