,Nominal,Pessimistic
0,2.0,2.0
1,15.0,15.0
2,38.0,38.0
3,67.0,67.0
4,103.0,103.0
5,144.0,144.0
6,189.0,189.0
7,239.0,239.0
8,289.0,289.0
9,342.0,342.0
10,397.0,397.0
11,452.0,452.0
12,511.0,511.0
13,576.0,576.0
14,634.0,634.0
15,693.0,693.0
16,749.0,749.0
17,808.0,808.0
18,869.0,869.0
19,931.0,931.0
20,995.0,995.0
21,1058.0,1058.0
22,1116.0,1116.0
23,1168.0,1168.0
24,1216.0,1216.0
25,1263.0,1263.0
26,1306.0,1306.0
27,1344.0,1344.0
28,1380.0,1380.0
29,1413.0,1413.0
30,1444.0,1444.0
31,1472.0,1472.0
32,1499.0,1499.0
33,1523.0,1523.0
34,1545.0,1545.0
35,1565.0,1565.0
36,1584.0,1584.0
37,1600.0,1600.0
38,1614.0,1614.0
39,1626.0,1626.0
40,1639.0,1639.0
41,1651.0,1651.0
42,1665.0,1665.0
43,1678.0,1678.0
44,1692.0,1692.0
45,1706.0,1706.0
46,1718.0,1718.0
47,1732.0,1732.0
48,1748.0,1748.0
49,1764.0,1764.0
50,1776.0,1776.0
51,1786.0,1786.0
52,1796.0,1796.0
53,1805.0,1805.0
54,1814.0,1814.0
55,1822.0,1822.0
56,1828.0,1828.0
57,1834.0,1834.0
58,1840.0,1840.0
59,1845.0,1845.0
60,1849.0,1849.0
61,1853.0,1853.0
62,1858.0,1858.0
63,1862.0,1862.0
64,1866.0,1866.0
65,1870.0,1870.0
66,1874.0,1874.0
67,1877.0,1877.0
68,1880.0,1880.0
69,1883.0,1883.0
70,1887.0,1887.0
71,1890.0,1890.0
72,1893.0,1893.0
73,1896.0,1896.0
74,1900.0,1900.0
75,1904.0,1904.0
76,1909.0,1909.0
77,1914.0,1914.0
78,1919.0,1919.0
79,1923.0,1923.0
80,1928.0,1928.0
81,1934.0,1934.0
82,1941.0,1941.0
83,1949.0,1949.0
84,1955.0,1955.0
85,1962.0,1962.0
86,1969.0,1969.0
87,1977.0,1977.0
88,1984.0,1984.0
89,1990.0,1990.0
90,1996.0,1996.0
91,2002.0,2002.0
92,2008.0,2008.0
93,2014.0,2014.0
94,2020.0,2020.0
95,2024.0,2024.0
96,2030.0,2030.0
97,2035.0,2035.0
98,2040.0,2040.0
99,2044.0,2044.0
100,2049.0,2049.0
101,2055.0,2055.0
102,2060.0,2060.0
103,2066.0,2066.0
104,2072.0,2072.0
105,2078.0,2078.0
106,2083.0,2083.0
107,2089.0,2089.0
108,2095.0,2095.0
109,2101.0,2101.0
110,2107.0,2107.0
111,2114.0,2114.0
112,2120.0,2120.0
