,date,inf_median,inf_10_%ile,inf_90_%ile
0,2021-08-23,2.0,1.0,4.100000000000001
1,2021-08-24,13.5,9.0,17.0
2,2021-08-25,32.0,23.8,38.0
3,2021-08-26,52.0,43.7,66.0
4,2021-08-27,80.0,67.0,95.0
5,2021-08-28,112.0,93.0,134.3
6,2021-08-29,148.0,122.9,179.2
7,2021-08-30,195.5,152.7,254.1
8,2021-08-31,237.5,174.2,327.70000000000005
9,2021-09-01,297.5,191.5,418.5
10,2021-09-02,358.0,220.20000000000002,561.9000000000001
11,2021-09-03,432.0,243.3,686.8000000000001
12,2021-09-04,489.0,273.0,854.8000000000002
13,2021-09-05,591.5,287.6,1032.3000000000002
14,2021-09-06,708.5,307.00000000000006,1238.5000000000002
15,2021-09-07,848.0,338.8,1500.5000000000002
16,2021-09-08,979.0,367.3,1771.4
17,2021-09-09,1108.5,407.90000000000003,2035.9
18,2021-09-10,1309.0,462.9,2332.2000000000003
19,2021-09-11,1513.0,528.0,2511.8
20,2021-09-12,1706.0,581.2,2731.3
21,2021-09-13,1931.5,634.7,2908.9
22,2021-09-14,2159.0,730.9,3050.1
23,2021-09-15,2378.5,834.0,3156.7
24,2021-09-16,2577.0,941.5000000000001,3251.1
25,2021-09-17,2798.0,1055.5,3375.8
26,2021-09-18,2975.5,1158.0,3461.1
27,2021-09-19,3152.5,1293.1,3632.2999999999997
28,2021-09-20,3322.5,1428.5,3746.3
29,2021-09-21,3392.5,1572.2,3787.4
30,2021-09-22,3404.0,1726.3000000000002,3845.8
31,2021-09-23,3447.0,1878.4,3887.7999999999997
32,2021-09-24,3496.5,1990.4000000000003,3906.0
33,2021-09-25,3532.5,2083.5,3940.1
34,2021-09-26,3543.5,2237.8,3953.0
35,2021-09-27,3556.0,2359.2,3974.7000000000003
36,2021-09-28,3570.5,2471.4,4033.3
37,2021-09-29,3608.0,2569.4,4037.2
38,2021-09-30,3640.0,2740.5,4041.8999999999996
39,2021-10-01,3660.0,2855.2,4043.1
40,2021-10-02,3686.0,2894.4,4045.0
41,2021-10-03,3700.5,2932.2999999999997,4046.1000000000004
42,2021-10-04,3707.0,2961.9,4047.0
43,2021-10-05,3714.0,3012.0,4047.9
44,2021-10-06,3719.0,3055.5,4048.9
45,2021-10-07,3725.0,3082.3,4049.9
