,date,inf_median,inf_10_%ile,inf_90_%ile
0,2021-08-23,2.0,0.0,4.0
1,2021-08-24,13.0,10.9,17.0
2,2021-08-25,32.0,25.0,38.1
3,2021-08-26,50.0,40.0,58.0
4,2021-08-27,64.5,56.0,74.1
5,2021-08-28,76.5,68.9,88.2
6,2021-08-29,86.5,74.7,99.4
7,2021-08-30,96.5,77.80000000000001,115.4
8,2021-08-31,104.0,80.0,130.4
9,2021-09-01,113.5,80.9,150.5
10,2021-09-02,117.0,81.8,161.10000000000002
11,2021-09-03,118.5,82.9,172.2
12,2021-09-04,119.5,84.7,184.3
13,2021-09-05,119.5,85.80000000000001,189.20000000000005
14,2021-09-06,120.5,87.7,197.70000000000005
15,2021-09-07,121.5,88.0,222.7
16,2021-09-08,123.5,88.9,233.3
17,2021-09-09,125.0,89.0,235.10000000000002
18,2021-09-10,128.0,90.9,245.8
19,2021-09-11,128.5,91.0,251.20000000000005
20,2021-09-12,133.0,91.0,271.6
21,2021-09-13,133.5,92.8,276.1
22,2021-09-14,134.0,93.7,277.0
23,2021-09-15,134.5,93.7,277.0
24,2021-09-16,135.0,93.7,277.0
25,2021-09-17,135.5,93.80000000000001,277.90000000000003
26,2021-09-18,135.5,93.9,278.0
27,2021-09-19,137.5,93.9,279.8
28,2021-09-20,138.0,94.0,287.20000000000005
29,2021-09-21,139.0,94.89999999999999,290.3
30,2021-09-22,141.5,95.0,291.20000000000005
31,2021-09-23,142.5,95.9,292.70000000000005
32,2021-09-24,144.0,96.0,294.00000000000006
33,2021-09-25,144.0,96.0,294.80000000000007
34,2021-09-26,144.5,96.0,298.6
35,2021-09-27,145.0,98.8,301.50000000000006
36,2021-09-28,145.0,100.7,307.00000000000006
37,2021-09-29,145.5,103.4,311.50000000000006
38,2021-09-30,146.0,104.30000000000001,312.6000000000001
39,2021-10-01,146.5,104.5,312.6000000000001
40,2021-10-02,147.0,104.60000000000001,312.70000000000005
41,2021-10-03,149.0,105.5,330.9
42,2021-10-04,150.0,105.6,351.0
43,2021-10-05,155.0,105.6,352.1
44,2021-10-06,156.5,105.8,352.1
45,2021-10-07,158.5,105.89999999999999,352.1
46,2021-10-08,159.0,106.8,352.2
47,2021-10-09,159.0,106.9,354.0
48,2021-10-10,159.0,109.80000000000001,356.20000000000005
49,2021-10-11,159.5,110.89999999999999,357.3
50,2021-10-12,160.5,110.89999999999999,357.90000000000003
51,2021-10-13,160.5,110.89999999999999,359.70000000000005
52,2021-10-14,160.5,110.89999999999999,361.5
53,2021-10-15,161.0,111.0,362.40000000000003
54,2021-10-16,161.5,116.5,362.8
55,2021-10-17,161.5,116.6,362.8
56,2021-10-18,162.5,118.39999999999999,362.8
57,2021-10-19,162.5,119.4,362.8
58,2021-10-20,170.0,119.6,363.0
59,2021-10-21,170.0,120.0,366.6
60,2021-10-22,172.0,123.7,377.4
61,2021-10-23,172.5,123.7,381.6
62,2021-10-24,173.0,123.7,394.5
63,2021-10-25,173.5,123.7,400.80000000000007
64,2021-10-26,173.5,123.7,402.4000000000001
65,2021-10-27,174.0,123.80000000000001,403.7000000000001
66,2021-10-28,182.0,123.9,404.1000000000001
67,2021-10-29,184.0,123.9,404.30000000000007
68,2021-10-30,184.5,124.8,404.30000000000007
69,2021-10-31,185.0,125.80000000000001,419.6
70,2021-11-01,185.0,129.6,427.8
71,2021-11-02,185.5,129.8,433.20000000000005
72,2021-11-03,186.0,130.9,435.0
73,2021-11-04,188.0,131.0,435.90000000000003
74,2021-11-05,193.0,132.8,438.6
75,2021-11-06,196.0,133.70000000000002,438.70000000000005
76,2021-11-07,197.0,133.8,439.6
77,2021-11-08,203.0,136.70000000000002,439.6
78,2021-11-09,204.5,138.5,439.7
79,2021-11-10,206.5,138.6,439.90000000000003
80,2021-11-11,207.5,138.7,439.90000000000003
81,2021-11-12,214.5,138.7,440.0
82,2021-11-13,215.5,139.60000000000002,440.0
83,2021-11-14,219.0,139.60000000000002,440.0
84,2021-11-15,219.0,140.5,440.90000000000003
85,2021-11-16,221.5,141.4,441.90000000000003
86,2021-11-17,223.0,143.4,441.90000000000003
87,2021-11-18,225.5,147.9,442.0
88,2021-11-19,229.0,148.8,443.80000000000007
89,2021-11-20,231.0,148.8,443.80000000000007
90,2021-11-21,234.0,148.8,443.80000000000007
91,2021-11-22,235.5,150.70000000000002,443.80000000000007
92,2021-11-23,238.0,150.70000000000002,444.70000000000005
93,2021-11-24,242.0,151.6,444.70000000000005
94,2021-11-25,242.5,152.6,444.70000000000005
95,2021-11-26,246.0,155.3,444.70000000000005
96,2021-11-27,246.5,158.9,445.6
97,2021-11-28,247.0,160.5,445.6
98,2021-11-29,248.5,161.9,446.6
99,2021-11-30,248.5,162.0,447.6
100,2021-12-01,248.5,162.0,447.8
101,2021-12-02,249.0,163.0,447.8
102,2021-12-03,249.0,163.89999999999998,448.70000000000005
103,2021-12-04,250.0,164.0,451.50000000000006
104,2021-12-05,251.5,164.0,453.30000000000007
105,2021-12-06,252.0,164.0,454.20000000000005
106,2021-12-07,253.5,164.0,454.3
107,2021-12-08,254.0,164.9,456.1
108,2021-12-09,255.5,164.9,456.1
109,2021-12-10,256.0,166.8,456.1
110,2021-12-11,256.0,166.8,457.9
111,2021-12-12,256.5,168.6,458.0
112,2021-12-13,257.5,172.4,458.0
