,date,inf_median,inf_10_%ile,inf_90_%ile
0,2021-08-23,2.0,1.0,4.100000000000001
1,2021-08-24,14.0,9.0,18.0
2,2021-08-25,33.0,27.9,41.1
3,2021-08-26,57.0,47.0,70.1
4,2021-08-27,92.5,79.7,107.19999999999999
5,2021-08-28,145.0,115.6,167.4
6,2021-08-29,217.0,175.9,244.1
7,2021-08-30,315.0,241.0,369.09999999999997
8,2021-08-31,447.5,326.7,545.8
9,2021-09-01,626.5,440.9,788.7
10,2021-09-02,832.5,592.9000000000001,1116.0
11,2021-09-03,1145.0,784.2,1587.7
12,2021-09-04,1526.0,1040.2,2185.6000000000004
13,2021-09-05,2023.5,1308.0,2821.5
14,2021-09-06,2617.5,1690.4,3538.8
15,2021-09-07,3333.0,2178.9,4281.400000000001
16,2021-09-08,4112.0,2804.4,4647.400000000001
17,2021-09-09,4559.5,3493.4,4995.099999999999
18,2021-09-10,4928.5,4186.2,5396.200000000001
19,2021-09-11,5286.5,4673.9,5824.5
20,2021-09-12,5686.0,4969.1,6237.8
21,2021-09-13,6060.5,5294.799999999999,6598.5
22,2021-09-14,6459.5,5666.7,6864.7
23,2021-09-15,6746.0,6062.700000000001,7048.599999999999
24,2021-09-16,6899.5,6423.5,7213.3
25,2021-09-17,7017.0,6650.8,7372.0
26,2021-09-18,7095.0,6771.2,7497.1
27,2021-09-19,7160.0,6831.099999999999,7602.8
28,2021-09-20,7218.5,6886.8,7652.900000000001
29,2021-09-21,7273.0,6950.200000000001,7692.6
30,2021-09-22,7308.0,6972.099999999999,7730.6
31,2021-09-23,7335.5,6988.4,7763.2
32,2021-09-24,7367.0,7017.6,7802.5
33,2021-09-25,7412.5,7045.7,7832.400000000001
34,2021-09-26,7435.5,7082.0,7855.200000000001
35,2021-09-27,7465.5,7091.5,7881.1
36,2021-09-28,7481.5,7100.3,7884.9
37,2021-09-29,7495.0,7111.1,7886.8
38,2021-09-30,7504.5,7134.8,7891.599999999999
39,2021-10-01,7506.5,7157.3,7906.099999999999
40,2021-10-02,7515.5,7169.6,7913.8
41,2021-10-03,7522.0,7189.6,7919.2
42,2021-10-04,7525.0,7201.0,7924.7
43,2021-10-05,7530.0,7215.7,7927.400000000001
44,2021-10-06,7533.0,7216.599999999999,7927.400000000001
45,2021-10-07,7538.5,7219.5,7928.4
46,2021-10-08,7540.5,7223.3,7929.4
47,2021-10-09,7542.0,7226.0,7929.599999999999
48,2021-10-10,7544.0,7226.0,7931.7
49,2021-10-11,7547.5,7229.6,7933.5
50,2021-10-12,7548.5,7232.3,7933.5
51,2021-10-13,7551.5,7234.2,7935.3
52,2021-10-14,7551.5,7236.200000000001,7935.3
53,2021-10-15,7552.0,7239.1,7935.3
54,2021-10-16,7552.0,7239.1,7938.9
55,2021-10-17,7552.0,7239.3,7939.8
56,2021-10-18,7552.0,7239.400000000001,7942.5
57,2021-10-19,7552.0,7239.5,7943.5
58,2021-10-20,7552.0,7239.5,7944.400000000001
59,2021-10-21,7552.0,7239.5,7944.400000000001
60,2021-10-22,7552.5,7239.5,7946.200000000001
61,2021-10-23,7553.0,7239.5,7948.0
62,2021-10-24,7554.0,7239.5,7948.900000000001
63,2021-10-25,7555.0,7239.5,7950.700000000001
64,2021-10-26,7557.0,7239.6,7954.3
65,2021-10-27,7558.0,7240.5,7955.3
66,2021-10-28,7558.5,7240.599999999999,7956.2
67,2021-10-29,7558.5,7241.5,7956.2
68,2021-10-30,7559.0,7241.5,7956.2
69,2021-10-31,7559.0,7241.5,7957.099999999999
70,2021-11-01,7559.0,7241.6,7957.099999999999
71,2021-11-02,7559.0,7241.8,7957.099999999999
72,2021-11-03,7559.0,7241.900000000001,7958.1
73,2021-11-04,7559.0,7242.1,7959.2
74,2021-11-05,7560.0,7243.3,7959.2
75,2021-11-06,7561.5,7243.6,7959.4
76,2021-11-07,7562.0,7245.2,7960.400000000001
77,2021-11-08,7564.0,7245.5,7962.2
78,2021-11-09,7564.0,7247.1,7963.200000000001
79,2021-11-10,7565.0,7247.6,7965.200000000001
80,2021-11-11,7566.0,7248.900000000001,7965.700000000001
81,2021-11-12,7567.0,7254.5,7965.700000000001
82,2021-11-13,7568.5,7256.3,7965.900000000001
83,2021-11-14,7568.5,7257.2,7965.900000000001
84,2021-11-15,7568.5,7257.3,7966.0
85,2021-11-16,7568.5,7257.3,7966.0
86,2021-11-17,7568.5,7257.4,7967.0
87,2021-11-18,7569.0,7259.2,7967.0
88,2021-11-19,7569.0,7259.2,7968.900000000001
89,2021-11-20,7569.0,7259.2,7970.700000000001
90,2021-11-21,7569.0,7259.2,7971.7
91,2021-11-22,7570.0,7260.099999999999,7972.799999999999
92,2021-11-23,7570.5,7260.099999999999,7973.700000000001
93,2021-11-24,7572.5,7260.099999999999,7973.700000000001
94,2021-11-25,7572.5,7260.3,7975.5
95,2021-11-26,7572.5,7261.200000000001,7975.5
96,2021-11-27,7573.0,7262.1,7975.5
97,2021-11-28,7573.5,7262.1,7975.5
98,2021-11-29,7575.0,7262.1,7975.5
99,2021-11-30,7576.0,7262.1,7976.4
100,2021-12-01,7577.5,7262.1,7977.299999999999
101,2021-12-02,7579.5,7263.0,7977.4
102,2021-12-03,7580.5,7263.0,7978.3
103,2021-12-04,7580.5,7263.2,7978.3
104,2021-12-05,7581.5,7263.2,7978.3
105,2021-12-06,7581.5,7263.5,7978.5
106,2021-12-07,7581.5,7265.3,7978.5
107,2021-12-08,7582.5,7265.3,7978.5
108,2021-12-09,7585.5,7265.3,7978.6
109,2021-12-10,7585.5,7266.200000000001,7978.8
110,2021-12-11,7588.0,7266.200000000001,7979.1
111,2021-12-12,7589.5,7266.200000000001,7979.1
112,2021-12-13,7594.5,7266.3,7979.200000000001
