day,cum_case_count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,2
48,2
49,2
50,3
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,5
61,5
62,5
63,5
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,8
76,8
77,8
78,8
79,8
80,9
81,9
82,9
83,10
84,10
85,10
86,10
87,10
88,10
89,12
90,13
91,14
92,14
93,14
94,14
95,14
96,14
97,14
98,15
99,15
100,15
