day,cum_case_count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,3
55,4
56,4
57,4
58,4
59,6
60,8
61,8
62,9
63,10
64,10
65,10
66,14
67,15
68,16
69,16
70,16
71,16
72,16
73,17
74,19
75,22
76,23
77,24
78,25
79,26
80,31
81,33
82,36
83,36
84,36
85,38
86,38
87,38
88,40
89,43
90,43
91,43
92,48
93,48
94,48
95,49
96,58
97,58
98,58
99,62
100,65
