day,cum_case_count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,3
55,4
56,4
57,4
58,4
59,6
60,8
61,8
62,9
63,10
64,10
65,10
66,14
67,15
68,16
69,16
70,16
71,16
72,16
73,17
74,19
75,22
76,23
77,24
78,25
79,26
80,31
81,33
82,36
83,36
84,36
85,38
86,38
87,38
88,40
89,43
90,43
91,43
92,48
93,48
94,48
95,49
96,58
97,58
98,58
99,62
100,65
101,69
102,73
103,73
104,73
105,77
106,83
107,87
108,91
109,97
110,102
111,106
112,111
113,118
114,126
115,128
116,130
117,137
118,143
119,147
120,152
121,154
122,157
123,160
124,163
125,167
126,173
127,175
128,178
129,179
130,189
131,189
132,190
133,191
134,199
135,203
136,204
137,206
138,207
139,211
140,212
141,213
142,221
143,222
144,236
145,237
146,244
147,246
