day,cum_case_count
0,6
1,10
2,12
3,13
4,14
5,18
6,19
7,22
8,25
9,26
10,28
11,28
12,29
13,31
14,31
15,32
16,32
17,36
18,37
19,37
20,39
21,40
22,40
23,42
24,43
25,44
26,44
27,46
28,48
29,49
30,49
31,52
32,54
33,54
34,54
35,56
36,59
37,61
38,61
39,63
40,64
41,64
42,68
43,71
44,71
45,71
46,71
47,72
48,74
49,74
50,77
51,77
52,77
53,79
54,79
55,79
56,80
57,80
58,80
59,81
60,82
61,82
62,83
63,86
64,87
65,87
66,91
67,92
68,95
69,95
70,95
71,95
72,95
73,95
74,95
75,97
76,99
77,100
78,106
79,106
80,107
81,108
82,108
83,110
84,113
85,113
86,115
87,115
88,116
89,116
90,117
91,118
92,119
93,119
94,119
95,119
96,120
97,120
98,122
99,122
100,124
101,124
102,124
103,124
104,126
105,127
106,127
107,127
108,127
109,127
110,127
111,128
112,128
113,128
114,128
115,129
116,129
117,129
118,130
119,130
120,131
121,131
122,133
123,133
124,133
