day,cum_case_count
0,0
1,0
2,1
3,1
4,1
5,1
6,2
7,4
8,4
9,5
10,5
11,7
12,8
13,13
14,24
15,34
16,40
17,46
18,46
19,51
20,53
21,60
22,62
23,62
24,63
25,63
26,63
27,63
28,63
29,64
30,64
31,67
32,68
33,70
34,71
35,71
36,73
37,73
38,73
39,73
40,74
41,74
42,77
43,79
44,81
45,82
46,83
47,87
48,90
49,95
50,97
51,97
52,99
53,101
54,107
55,117
56,128
57,134
58,136
59,137
60,140
61,146
62,150
63,151
64,153
65,158
66,162
67,166
68,169
69,171
70,172
71,173
72,176
73,177
74,178
75,178
76,178
77,178
78,178
79,180
80,180
81,180
82,180
83,180
84,180
85,180
86,180
87,180
88,180
89,180
90,180
91,180
92,180
93,180
94,180
95,180
96,180
97,180
98,180
99,180
100,180
101,181
102,181
103,181
104,181
105,181
106,181
107,181
108,181
109,181
110,181
111,181
112,181
113,181
114,181
115,181
116,181
117,181
118,181
119,181
120,181
121,181
122,181
123,181
124,181
